,0,1,2,3,4,5
0,helpful__,npn,0,0.7116577540106952,3327,4675
1,helpful__,npn,1,0.8048245614035088,1101,1368
2,helpful__,npn,2,0.8603988603988604,302,351
3,helpful__,npn,3,0.8931297709923665,117,131
4,helpful__,npn,4,0.8846153846153846,46,52
5,helpful__,npn,5,0.8846153846153846,23,26
6,helpful__,npn,6,1.0,7,7
7,helpful__,npn,7,1.0,3,3
8,helpful__,pnp,0,0.7116577540106952,3327,4675
9,helpful__,pnp,1,0.793685356559608,1458,1837
10,helpful__,pnp,2,0.8792756539235412,437,497
11,helpful__,pnp,3,0.9080459770114943,158,174
12,helpful__,pnp,4,0.8953488372093024,77,86
13,helpful__,pnp,5,0.926829268292683,38,41
14,helpful__,pnp,6,0.9411764705882353,16,17
15,helpful__,pnp,7,1.0,10,10
16,helpful__,pnp,8,1.0,5,5
17,helpful__,pnp,9,1.0,2,2
18,helpful__,pnp,10,1.0,1,1
19,helpful__,pnp,11,1.0,1,1
20,helpful__,pnp,12,1.0,1,1
21,helpful__,nppn,0,0.7116577540106952,3327,4675
22,helpful__,nppn,1,0.8571428571428571,666,777
23,helpful__,nppn,2,0.9214285714285714,129,140
24,helpful__,nppn,3,0.90625,29,32
25,helpful__,nppn,4,0.9230769230769231,12,13
26,helpful__,nppn,5,1.0,3,3
27,helpful__,pnnp,0,0.7116577540106952,3327,4675
28,helpful__,pnnp,1,0.8279816513761468,722,872
29,helpful__,pnnp,2,0.8904109589041096,130,146
30,helpful__,pnnp,3,0.9302325581395349,40,43
31,helpful__,pnnp,4,0.9230769230769231,12,13
32,helpful__,pnnp,5,0.8333333333333334,5,6
33,helpful__,nnppnn,0,0.7116577540106952,3327,4675
34,helpful__,nnppnn,1,0.8548387096774194,106,124
35,helpful__,ppnnpp,0,0.7116577540106952,3327,4675
36,helpful__,ppnnpp,1,0.857707509881423,217,253
37,helpful__,ppn,0,0.7116577540106952,3327,4675
38,helpful__,ppn,1,0.7927382753403933,1572,1983
39,helpful__,ppn,2,0.869983948635634,542,623
40,helpful__,ppn,3,0.8966942148760331,217,242
41,helpful__,ppn,4,0.9478260869565217,109,115
42,helpful__,ppn,5,0.9523809523809523,60,63
43,helpful__,ppn,6,0.9411764705882353,32,34
44,helpful__,ppn,7,1.0,20,20
45,helpful__,ppn,8,1.0,9,9
46,helpful__,ppn,9,1.0,7,7
47,helpful__,ppn,10,1.0,6,6
48,helpful__,ppn,11,1.0,2,2
49,helpful__,ppn,12,1.0,1,1
50,helpful__,ppn,13,1.0,1,1
51,helpful__,ppn,14,1.0,1,1
52,helpful__,nnp,0,0.7116577540106952,3327,4675
53,helpful__,nnp,1,0.8045254556882464,1280,1591
54,helpful__,nnp,2,0.868421052631579,396,456
55,helpful__,nnp,3,0.8914285714285715,156,175
56,helpful__,nnp,4,0.9302325581395349,80,86
57,helpful__,nnp,5,0.9210526315789473,35,38
58,helpful__,nnp,6,0.9130434782608695,21,23
59,helpful__,nnp,7,0.9333333333333333,14,15
60,helpful__,nnp,8,1.0,8,8
61,helpful__,nnp,9,1.0,5,5
62,helpful__,nnp,10,1.0,1,1
63,helpful__,nnn,0,0.7116577540106952,3327,4675
64,helpful__,nnn,1,0.8151515151515152,807,990
65,helpful__,nnn,2,0.8871794871794871,173,195
66,helpful__,nnn,3,0.9,54,60
67,helpful__,nnn,4,0.8846153846153846,23,26
68,helpful__,nnn,5,0.8888888888888888,8,9
69,helpful__,ppp,0,0.7116577540106952,3327,4675
70,helpful__,ppp,1,0.7827282728272827,1423,1818
71,helpful__,ppp,2,0.8520833333333333,409,480
72,helpful__,ppp,3,0.8806818181818182,155,176
73,helpful__,ppp,4,0.9452054794520548,69,73
74,helpful__,ppp,5,0.95,38,40
75,helpful__,ppp,6,1.0,20,20
76,helpful__,ppp,7,1.0,11,11
77,helpful__,ppp,8,1.0,7,7
78,helpful__,ppp,9,1.0,4,4
